"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1013","Review nbg! Web Series Korea

Judul: Squid Game
Tahun Rilis : (2021)
Genre : Thriller, survival

<U+26A0><U+FE0F> Sinopsis <U+26A0><U+FE0F>
Sek… https://t.co/DUunlEkIs3",FALSE,0,NA,2021-12-06 10:42:24,TRUE,NA,"1467806623372431361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nobargeh",0,FALSE,FALSE,NA,NA
"1014","@PuneetVuneet Bahut hi bakwas laga humko...squid Game achha tha...",FALSE,0,"PuneetVuneet",2021-12-06 10:32:15,FALSE,"1467802985900101634","1467804069649604611","739550592029184001","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","animeshbhardu2",0,FALSE,FALSE,NA,NA
"1015","@onlyjunkyu_ itu ceritanya kosple jdi badut squid game kah",FALSE,0,"onlyjunkyu_",2021-12-06 10:31:56,FALSE,"1467802846548541448","1467803991568355328","1371793810758365184","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","junkyubom",0,FALSE,FALSE,NA,NA
"1016","The Silent Sea Diprediksi Akan Mengikuti Kesuksesan Squid Game dan Hellbound

#TheSilentSea #DreamersDaily… https://t.co/ExZWhhhlz2",FALSE,1,NA,2021-12-06 10:19:38,TRUE,NA,"1467800896155238402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DreamersRadioID",0,FALSE,FALSE,NA,NA
"1017","@TheRedSIeeve @convomf Mjb, menurut aku ada yg mirip sama dia, yg di squid game, bukan idol si tp",FALSE,0,"TheRedSIeeve",2021-12-06 10:11:52,FALSE,"1467682740212363267","1467798941991260162","1331936688063406080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","7_eudaimonia",0,FALSE,FALSE,NA,NA
"1018","yaampun seokjin lucuu bgt sii!! ketika member lain update aesthetic, dia ngepost dirinya jdi boneka squid game<U+0001F62D> <U+2728>gemas<U+2728>",FALSE,0,NA,2021-12-06 10:08:15,FALSE,NA,"1467798029902106629",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kimbabbly",0,FALSE,FALSE,NA,NA
"1019","Wehhh aku mimpi masuk squid game sia. Tak boleh brain buat solat taubat kat situ hmmmm apa masalah otak aku ni.",FALSE,0,NA,2021-12-06 09:58:50,FALSE,NA,"1467795662745980932",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuyul_qurratu",0,FALSE,FALSE,NA,NA
"1020","supir grab gue kaya kakek kakek di squid game HAHAHAH EVEN SUARANYA MIRIP",FALSE,0,NA,2021-12-06 09:57:43,FALSE,NA,"1467795381194924039",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xXxandercagee",0,FALSE,FALSE,NA,NA
"1021","Squid Game, Hellbound,, <U+0001F525><U+0001F525>

jadi penasaran kan ama drama Crime Puzzle, ga dibahas di base dimana² gegara ga ada sub… https://t.co/bSbUAMfpUO",FALSE,0,NA,2021-12-06 09:53:19,TRUE,NA,"1467794270488694784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Steffinner",0,FALSE,FALSE,NA,NA
"1022","@vvrgin dia yang main di squid game ra",FALSE,0,"vvrgin",2021-12-06 09:50:41,FALSE,"1467783983345795076","1467793611244773380","950892089520242688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","draxkenn",0,FALSE,FALSE,NA,NA
