"","text"
"155","  ta tete coba coba  iseng  ga keterima yaudah ngga  ambis isi formnya iya ya  oktober   "
"156","gila   demam  gamenya    wkwkwk mas hansol  sar malem  gangwon tia toko   "
"157","ih   bikin kesel bgtt  marathonin n liat si  menang hidudgn tenang tan mikirin utang eh endin "
"158","endingnya   ending   "
"159","skulasi beredar  menga btsv menghas stingan   am nggemar menduga v diberitahu  ses "
"160","okh  kemaren milih sekolah sesuai  mem seventeenini na baju olahraga  kek main   buset"
"161","  original kebanyakan ga sm sejam enya jg dkit nder coba nnton dp sweet home move to "
"162","   hellbound takutu   as nontonnyaaa skrg   vincenzo"
"163","saran nasi uduk     beeeh eneg  "
"164","ditonton  juta orang simak kumlan meme     twitter "
"165"," kirain    "
"166","   doang wkwk"
"167"," an vs persib  strategi rmainan tarik tambang     bertah "
"168","    doang wkwk"
"169","idm guys  beneran kah  seen story  ngedm  trs   bikin story    liat story d "
"170","itzy kolaborasi  heo sung     mama  "
"171"," hehe udaaah  rewatch   ni emang jarang  drama  sih    squ "
"172","   doang      ga suka drakor ta males nontonnya sti ujungujungnya ketiduran"
"173","dinda jam segini       squod   nontonin "
"174","google year in search      bts   dicari "
"175","perkara mati lam      "
"176","  tblm kelar nontonnya wkwk vincenzo homcha nevertheless hostal aylistsisanya  masuk lis "
"177","  tblm kelar nontonnya wkwk vincenzo homcha nevertheless hostal aylistsisanya  masuk lis "
"178","   namaze kwibagirwa nukuntu yarangiye "
"179","   vincenzo nnton t blm sm tamat wkwk my name nevertheless"
"180","trs   main  "
"181","   vincenzohometown chachacha  selesai   esode  eh  kasusnever "
"182"," g ntar gelembungnya masuk ggy bank kaya    "
"183","peoes choice awards  digelar da selasa  malam  amerika serikat  ajang bergengsi  squi "
"184","    krna skrg lg nnton  ongoing dlumsquid  dr  tenar emg ga nh minat nntontr "
"185","    aslinya ngen  uncanny counter tkeburu takut duluan   ngelawan roh jahat git "
"186","oiya      selesai hehehehehehe seru t s  bingung  rcaya  sia"
"187","hai moots   jd   ajak hus hus     lihan  kecuali  "
"188","asli inimah  bs gua terima cm   doangg "
"189","  daftar lengkamenang e peoes choice awards  "
"190","bikin penasaran itzy kolaborasi bareng heo sung     mama itzy "
